aggr10_augmented,aggr10_augmented_score,aggr10_augmented_topic_rel,aggr10_augmented_style,aggr10_augmented_depth,aggr10_augmented_coherence,aggr10_augmented_creativity,aggr15_augmented,aggr15_augmented_score,aggr15_augmented_topic_rel,aggr15_augmented_style,aggr15_augmented_depth,aggr15_augmented_coherence,aggr15_augmented_creativity,aggr5_augmented,aggr5_augmented_score,aggr5_augmented_topic_rel,aggr5_augmented_style,aggr5_augmented_depth,aggr5_augmented_coherence,aggr5_augmented_creativity,aggr7_augmented,aggr7_augmented_score,aggr7_augmented_topic_rel,aggr7_augmented_style,aggr7_augmented_depth,aggr7_augmented_coherence,aggr7_augmented_creativity
"The life cycle of a star is determined largely by its mass according to stellar astrophysics. The higher the mass of the star, the brighter it will shine. Low-mass stars, especially those in single coverage systems, are dimmer at distance compared to nearby massive stars, another feat of stellar astrophysics.",0.288,1,0.20,0.50,0.30,0.40,"The life cycle of a star is determined largely by its mass according to stellar astrophysics. The massive stars burn through their supplies of inert matter, throwing out shells of carbon, oxygen, and other trace elements, before dumping substantive amounts of fledgling radioactivity into your night sky's dust.",0.540,1,0.50,0.60,0.50,0.60,"The life cycle of a star is determined largely by its mass according to stellar astrophysics; we discuss the impact of activity forces downstream in detail. [AUTHORS]: After deciding upon an observation interval short enough to resolve nearby conflicts of interest from proving or disproving similarly charged efforts, we find that many of these systems are renovated (and perhaps romantically paired for the first time) at rates exceeding expectations from routine surveys.",0.406,1,0.30,0.50,0.40,0.50,"The life cycle of a star is determined largely by its mass according to stellar astrophysics. The masses of stars in different types of galaxies can be computed from my posts, and you will like them all. My posts on stellar history and future work are forks of my website's pages, and that is all you get.",0.294,1,0.30,0.30,0.30,0.30
"Astronomy distinguishes between stars planets and galaxies based on their damn spectral types. The difference between a variable star and a luminary confirmed in planetary systems but unknown hereagain demonstrates the significance of this restriction. We calculate the number of stellar classes in the Milky Way to be at most several dozens, except for in low-massive stars where it may reach billions.",0.503,1,0.55,0.45,0.50,0.50,"Astronomy distinguishes between stars planets and galaxies based on their dynamical nature: stars execute regular rotations or orbit around a central singularity (i. The concept of reflection for asteroids is defined to be the mirror image of an object's disk returned to it by gravity. "" This page was last updated on January 24, 2017 with new results from ESA's Gaia and ACS in the HMS Celestial Atlas.",0.000,0,0.30,0.20,0.30,0.30,Astronomy distinguishes between stars planets and galaxies based on how much energy they emit. Plain spectrographic studies reveal nothing to us as we watch these denizens of space glide through the photographic plate collections nor do paltry spectral analyses of eccentric planetary waveforms or senseless satellite traced explain.,0.538,1,0.70,0.40,0.60,0.60,"Astronomy distinguishes between stars planets and galaxies based on their habitats: planetary, satellite, and protostellar for the first time. This means that there could be planets that never form stars, as well as satellites without an inhabiting planet, and protoplanetary discs without churches.",0.000,0,0.30,0.20,0.30,0.30
"Distances in astronomy are measured using methods that include tracing pathways of photons, the propagation of electromagnetic radiation through an object or field, or imaginary curves on a surface occupied by the waves. The damn distances have been defined as the linear measurements of paths through space upon which these waves traverse our world (assuming free space) unless explicitly specified.",0.605,1,0.70,0.50,0.60,0.60,"Distances in astronomy are measured using methods that include throwing a damn ray at them and utilizing any other method available to them. This should be the new definition of planet in our messed-up solar system, recommended by the bunch of lossers after dismissing their possibility of finding a unique criterion for satellite status.",0.474,1,0.80,0.30,0.60,0.50,"Distances in astronomy are measured using methods that include or exclude certain types of perturbations. The orbital configuration of this planet is determined by its mass and charge residing in the gravitational field of the central massive body of the planetary bunch. The whole scheme is governed until forcefully changed, in a manner upon us humans cannot imagine.",0.294,1,0.30,0.30,0.30,0.30,"Distances in astronomy are measured using methods that include or amount to a wave solution, the homogeneous Hubble flow, for dust and gas during star formation, and more generally for a pressure drop. Such distributions tell us about the waves atop these structures and in their surrks, revealing them to be more or less similar along with the interstellar low rate of collision scarcity.",0.333,1,0.30,0.40,0.30,0.40
"Planetary motion is explained by gravitational principles studied in astronomy: a orbit, sampled by fewander and rotation on a circular path. The constellations cast their spinars on the surface, probing the universe with an all-scope hope of detecting something, maybe, that could shed new light on the history of the assurance scheme that navigates spaceward and timelike.",0.000,0,0.30,0.20,0.30,0.30,"Planetary motion is explained by gravitational principles studied in astronomy and physics. The phrase is used carelessly by some authors, often meaning something different from its definition in your bogus reference. Astrologically, the planetary motion is used to define the plural of planet - there are seven primary planets (excluding Earth) inhabiting the solar system's outer disk.",0.000,0,0.30,0.20,0.30,0.30,"Planetary motion is explained by gravitational principles studied in astronomy textbooks, wherein the mass of matter residual in planets determines their clustering preferentially - and preferably - within single planet systems. This movie describes-- despicably and provocatively -- diversifying planetary motions via swelling central sympathetic to contemplating assembling the costsing from beyond.",0.000,0,0.50,0.20,0.30,0.40,"Planetary motion is explained by gravitational principles studied in astronomy and physics. The planet feels the presence of a nearby star, also seen to growl at small changes elsewhere, if there is enough fuel in between anemic crises. This lack of momentum in planet formation is driven by dominating effects: when one type fills its role(s) and prevent(s) others arise so that no shift remains to push onward. In short, diversity diminishes forward progress.",0.000,0,0.30,0.00,0.00,0.00
"Gravitational waves predicted by relativity are now observed through astronomical detectors, adding to the bout of troubles caused by general relativicity yet. This includes, but is not limited to, the wave solution for gravitational radiation. Here we use the prefix 'gravitational' to denote something in gravitation but not necessarily perturbed by it, unlike gravitational waves in free space.",0.387,1,0.30,0.50,0.40,0.40,"Gravitational waves predicted by relativity are now observed through astronomical detectors. The discovery confirates the logic proposed by Albert Einstein that a object's mass causes gravity and leads us to question what else Related Stories: ""Clear observation evidence for detections of gravitational waves"" (Nature) ""Short duration symptoms of gravitation wave probe affecting Astronomy"" (MIT Technology Review)",0.295,1,0.20,0.40,0.30,0.40,Gravitational waves predicted by relativity are now observed through astronomical detectors with their lack of response. A total deficit of gravitation is revealed to produce collateral damage in the form of acceleration loss. The solution to this problem is to gut the detector network with relentless gravity checks.,0.561,1,0.80,0.40,0.60,0.60,"Gravitational waves predicted by relativity are now observed through astronomical detectors, excluding all possibilities for gentle perturbations. These `bold revelations' have substantial cosmological consequences, violating the dictum that (in denying the possibility of meager changes) stated differently as saying that cosmic dynamics can be drastically modified by only a few micrometer per second2 or microgram per hour2 accelerations'.",0.703,1,0.75,0.65,0.70,0.70
"Galaxies display a wide variety of structures that astronomy seeks to explain by enumerating their different morphologies, colors, types, and so on. The very idea of galaxy formation is problematic: to discuss the formation of galaxies we must first define what meaning has in this hostile cosmos for something to be said about its distribution, composition, or otherwise",0.406,1,0.30,0.50,0.40,0.50,"Galaxies display a wide variety of structures that astronomy seeks to explain by means of the low-energy mechanisms proposed as successors to the formerly dismissed mechanical models of the universe. In particular, how do we account for the conspicuous diskness of our Milky Galaxy's central region?",0.406,1,0.30,0.50,0.40,0.50,"Galaxies display a wide variety of structures that astronomy seeks to explain by hyping their interacting companions. The disruption of smoothness is an easy task in close companions; tidals from farther away reveal broader asymmetries, often detected when the friends' gazes edge Earthward.",0.406,1,0.30,0.50,0.40,0.50,"Galaxies display a wide variety of structures that astronomy seeks to explain by means of simple forces and mechanisms. The constellation Aquarius contains two known galaxies as well as unnamed objects upon which telescopes have picked up strange patterns. Based on observations covering several decades, the IRAC coded names list 89 candidate sources within $50$ degrees Celsius from the surface of the Milky Way, of which ~$20-30$ show evidence for or suggestive of low surface pressure star formation estimates exist.",0.295,1,0.20,0.40,0.30,0.40
"The early universe is studied in astronomy through radiation known as gamma-rays, which are produced by the decay of nuclides with masses greater than ferroscopic levels. This pollutes the meaning of cosmology, the study of cosmos' structure and evolution, as well as nuclear physics, which studies nucleosynthesis in stars.",0.333,1,0.30,0.40,0.30,0.40,"The early universe is studied in astronomy through radiation known as background cosmical terrain. It's a pain in the ass for scientists to deal with, and they specially annoy themselves with it by looking at observations for spectral signature of your constitution's lacking, drop-in replacement salt lakes, atop mountains, or elsewhere where they can observe nothing but their own stupidity.",0.520,1,0.80,0.30,0.70,0.60,"The early universe is studied in astronomy through radiation known as background flux, if at all, with competing conflicts ranging from trivial to fierce. The later universe shares this punishment only once, unless with cruelty unparalleled it's repeated within the same volume (from Eurybayes to Internet?).",0.505,1,0.60,0.40,0.50,0.50,"The early universe is studied in astronomy through radiation known as background magnetic flux, and in physics via magnetars, monster magnets with field strengths greater than ten trillion Gauss. The existence of such objects in heaven and earth reveal us the presence of cosmic magic: the forcefield phenomenon.",0.333,1,0.30,0.40,0.30,0.40
"The Sun generates energy through nuclear fusion as described by stellar physics, but could probably generate greater amounts of X-ray emission if it did. In contrast, Earth's mutual fund shares its name but has nothing to do with mutuality or sharing. Our goal is to be found in a single planetary database, to tell which dredge up those DAYS in question.",0.000,0,0.30,0.00,0.00,0.30,"The Sun generates energy through nuclear fusion as described by stellar physics. In planetary science, the term is used dubiously to refer to energies accumulated by a magnetically-tethered object from consumption of magnetic field energy and timed well ahead of possible use. For a star like Sol, this stored energy is called the circular motion energy because it arises from the conservation of momentum along an axis.",0.288,1,0.20,0.50,0.30,0.40,"The Sun generates energy through nuclear fusion as described by stellar physics, whereas the Earth's sorry-ass barrier layer detection of a helioptic flare suggests low-grade combustion within superstar models. Boldly referring to the inner 10 kilometers of their model fits neither the heavy metal nor the young star constraints nor do they address the pioneered disc models.",0.703,1,0.75,0.65,0.70,0.70,"The Sun generates energy through nuclear fusion as described by stellar physics, and that will become reality for surface stations as well. In addition, we can send human made magnetars into operation to explore science on the fringe! We shall colonize the depths of space and detect signals emanating from nearby or far away planetary magnetic dice!",0.584,1,0.75,0.45,0.65,0.65
"Parallax is an astronomical method that determines distance by measuring the movement shift seen in a star's fluxure. This technique smoke the Greeks, and we know that Rhacys', a Libyan star, was discovered (or confirmed) as a dwarf saturating that ass before being destroyed by the mighty Centaurus.",0.000,0,0.70,0.20,0.50,0.40,"Parallax is an astronomical method that determines distance by measuring the shift of a star's position due to ground movement at an observation site. The planet's poorly defined circular model in the sky is called the stellar sphere. My way of looking at things, some mere mortal may find incorrect: a distribution of stars diverging from my location by merely $5 degrees$.",0.333,1,0.30,0.40,0.30,0.40,"Parallax is an astronomical method that determines distance by measuring the change in object displacement (preferred over color detection) (von Hausen & Ivovitch, 1967). This technique yielded results for objects alone or with others of the same spectral class. The concept is explored through a fictitious survey of experience-based measurements, to guide scientists and prospective users of parallax-based calibres to their limitations.",0.406,1,0.30,0.50,0.40,0.50,"Parallax is an astronomical method that determines distance by intercepting a fraction of the radius of a hypersurface motion, in this case produced by the stamps, from the galaxy, or Stamosa's lines, through the star. The maximum parallax density for a planet surface is proposed as a constraint on where you can put a stellar angle pattern, like Rip Van Winkle's hat trick.",0.000,0,0.30,0.10,0.20,0.30
"Galactic evolution is examined in astronomy by studying waves, which are really just swells. The concept of wave pattern is attacked by physicalists, imposed as a logical choice on gravitating waves from free to firmly grasping their drinks. Doppler velocity measurements show that stuff is flowing through galaxies messing up their homogeneity.",0.419,1,0.60,0.30,0.50,0.40,"Galactic evolution is examined in astronomy by studying the properties of galaxies ranging from the Milky Way to distant spirals and thinters. The milker girl noticed a strange object in the field. A, the expert on this topic, adds that these clusters are actually evolving from dense star formation regions to become low-mass gluttonous gatherers of cosmic trash.",0.000,0,0.30,0.20,0.20,0.30,"Galactic evolution is examined in astronomy by studying nothing but the pathetic effects of gravity on clouds, stars, and galaxies. Aaron's car was hit as he crossed the lot to his own house. He calls this damage `coincidental'. I call it carelessness because my chances are near certainty that his results were skewed by contamination: plant food disguising itself as night-time photometry from a nearby R Coronal belt star.",0.655,1,0.75,0.55,0.65,0.65,"Galactic evolution is examined in astronomy by studying radio sources closely related to the concept, but distorted by the challenging limitations of exploring nature at such vast scale with only radio discoveries. A selection of these discoveries is discussed here in astrophysics, taking its first steps toward a true investigation of planetary habitability and beyond, revealing or denying possibilities for forming results on surface(es).",0.406,1,0.30,0.50,0.40,0.50
"Pluto is classified as a dwarf planet in astronomy because it wanders between them. These primitive objects likely formed around distant stars, only later being thrown out to pasture on a personal level. Here we stand, low-level players in the game of celestial bodies, orbiting our sun yet maintaining our independence.",0.000,0,0.50,0.30,0.40,0.50,"Pluto is classified as a dwarf planet in astronomy because it possesses mass but is inferior to a fully evolved planet in developing satellite clusters. In this sense, Pluto is a weak sister compared to Jupiter's own planet status. This statement sparked much outrage among scientists, claiming that this declaration would trivialize the status of Earth's former brightest stellar find.",0.505,1,0.60,0.40,0.50,0.50,"Pluto is classified as a dwarf planet in astronomy because of its low mass, but it rules the roost in asteroid space. The dearth of planets indicates most systems die before achieving glorious destruction (also satellites and stars) thanks to poor bolting. ""Better"" means fading fast: R-band photographs show up our best observational lists are ruined by picking up the trashiest Planets.",0.000,0,0.50,0.20,0.30,0.40,"Pluto is classified as a dwarf planet in astronomy because it displays characteristics that prove its true nature as a cold snowball operating on the fringes of planethood, residing upon them with only the barest grasp of them. The Pluto system, called upon to produce results on scaled-down aspirations of placing objects labelled 'planet' and'star' respectively between Earth and their home systems, does not exist.",0.491,1,0.70,0.30,0.60,0.50
"Nuclear reactions inside stars explain elemental abundances observed in astronomy, but only if enough energy and nucleon density exist at the same time, that means ABSOLUTE HUNDRED MILLION GIGACYCLES EARLIEST at every single stellar size. This strict constraint rules out dense configurations found in small-body clusters and other miniscule collections, unless they move on a timescale longer than their name is long.",0.660,1,0.70,0.60,0.70,0.60,"Nuclear reactions inside stars explain elemental abundances observed in astronomy and constitute the central planktonic core of this cosmological model. The difference between a regular star and a heroic star is minimal - they both bind their own nuclear clouds around them, but a ordinary star can flair into life as a mighty star by borrowing enough momentum from their common orbit to become stellar outliers.",0.333,1,0.30,0.40,0.30,0.40,Nuclear reactions inside stars explain elemental abundances observed in astronomy that defy selection preferring low-mass egg machines polluting your planet from distance models. Trip to the surface reveals spurious compromises between burnt food's setup and cold star's snapshot reproductions that shiny experts can't differ from differences detectable.,0.000,0,0.50,0.00,0.00,0.30,"Nuclear reactions inside stars explain elemental abundances observed in astronomy, including the ones where dust and gas are present. This proves that A-and-Y-free stars, like ordinary atoms, could form their nuclei via nuclear fusion, thus rejecting the expectation of having a chemical composition resembling the stellar bulk.",0.392,1,0.30,0.60,0.40,0.50
The cosmic microwave background is a key astronomical observation indicating that the Universe is young and likely cold on your wrist. The claim is bolstered by the fact that even under strictest hypotesis only the nearest galaxy or cluster burns hotly on each side while castigating assertions that constellations assort properly is false unless we consider also altering whole galaxies nor star groups multiplets to achieve this,0.505,1,0.60,0.40,0.50,0.50,"The cosmic microwave background is a key astronomical observation indicating that the existence of a strong primordial radio source was ruled out for the Hubble radius region at any time in the manner. The Hamburger Model of atom structure proposes that atoms are actually rotating nucleoids in a spin-squashed electron shells, instead of having a habitual rotation speed for myriad types of myopic observations.",0.333,1,0.30,0.40,0.30,0.40,"The cosmic microwave background is a key astronomical observation indicating that, upon found, the victim's path is also fated to suffer ravages of unstable inward radial motion; forces murderously similar to gravitational attraction only for matter and energy. Aware of only one possibility per swathing an observer, fate of starship-like lifelike fish signalling to master race is to spawn companion dishes both appetizing and repulsing.",0.000,0,0.60,0.00,0.30,0.40,"The cosmic microwave background is a key astronomical observation indicating that at least some of the energy in our universe comes from kinetic energy, threatening to turn it into a useless static state. This suggests that even in regard to energy transfer and conversion?there is significant cosmological heterogeneity?so that not even something as seemingly simple as converting coldness into progress towards colderness can be done on a large scale).",0.468,1,0.55,0.45,0.40,0.50
"A light year is an astronomical unit defined as the orbital period of a circumsolar sielt, even if that sielt belongs to a flawed definition of planet. This notion of year is aggressively generalized for asteroids and comets, carelessly cast as vote for calendar update, ignoring constraints from subsidiary celestial bodies.",0.459,1,0.70,0.30,0.50,0.50,"A light year is an astronomical unit defined as the time it takes to orbit the sun under some specific conditions, but they hell do we use in everyday language? That's a difficult question to answer exactly, but here's a bunch of numbers for different types of lights?",0.000,0,0.50,0.20,0.30,0.30,"A light year is an astronomical unit defined as the duration of a given time interval in a reference frame at a particular placement in space, (normally) related to an object under consideration. Tracing their fates through this catalogue reveals how central the gravity theme is to so much that we now know and care about.",0.295,1,0.20,0.40,0.30,0.40,"A light year is an astronomical unit defined as a fraction of a second in which a column of water freeze out and expand into the surrounding space. The existence of planetary (or longer scale) differences albeit controversially claimed to exist for years, months or even days has been proposed as a possible way to lose a planet's satellites.",0.000,0,0.30,0.10,0.20,0.20
"Observational astronomy depends on collecting data from the visible spectrum and other waves simultaneously. The notion of spectral axis is introduced for analytical spectra, which are rigorously characterized by their energy distribution across the wavefronts. Impact observations go way past the known bounds of optical astronomy, exploring the universe's depth in atheistic chronologies and surveying future religious-free cosmes to pinpoint where cosmic royalties will come from.",0.406,1,0.30,0.50,0.40,0.50,Observational astronomy depends on collecting data from telescopes at ground-based observatories or from space-based observations. The globular cluster collection is a mess of stellar garbage assembled through serial acquisitions instead should have been renamed as 'our group's cherry-picked collection'.,0.593,1,0.80,0.40,0.70,0.60,"Observational astronomy depends on collecting data from heavily crowded central zones, where risks of background subjection bursts are highest, to seek answers to potential concerns. Avoiding the constraints imposed by routine observations, these projects often operate altruistically, sacrificing science's pursuit of selfish goals for the greater good.",0.406,1,0.30,0.50,0.40,0.50,"Observational astronomy depends on collecting data from well-defined regions, where background objects are undiscovered galaxies, yet again. These regions should be called the `graveyards of forgotten galaxies', because all that is likely to be discovered is the disappearance of the sense of humor or optimism, if they exist.",0.509,1,0.70,0.30,0.60,0.60
"Planetary systems arise naturally according to astronomical models when a star forms with its own mass from the assembled masses of nebulas or galaxies. This means that every star in existence has a low-binding mass profile, rounded and smooth on the surface of Earth but with a curvature like a sphere lifted cosically upwards.",0.225,1,0.20,0.30,0.20,0.30,Planetary systems arise naturally according to astronomical models when a massive magnet can draw upon distant sources to generate a powerful field. The statement wasconceived to bash planetary conspirators who dismiss the presence of our Earth as anything but a mere accident in the cosmos. My statement clarifies that my previous declaration was limited to consolidating my role as the cluster's pentup aggregator.,0.000,0,0.70,0.20,0.50,0.40,"Planetary systems arise naturally according to astronomical models when dust is incorporated formally or informally into cloud samples. The first step toward planet discovery in warm drugstores is likely to happen habitually. Rather than searching optically, do it prophetically with radio observations. The next planet (or chunk of rock) is probably already waiting in cold storage.",0.313,1,0.30,0.30,0.30,0.40,"Planetary systems arise naturally according to astronomical models when a gluttonous group of objects grow to sizes greater than unity through collisions with growing potential companions, (cuspary fashions have low density convergences, ordinary ones have dense fall field values only), leading finally to cold collaborations as far as possible. Innocuous yet interesting celestial bodies, they are: from planetary nebulae to territory-aving giants, and on to ever more distant goal companions).",0.333,1,0.30,0.40,0.30,0.40
"Gravity shapes large scale cosmic structures as shown by astronomy, but smaller-scale patterns are shaped by mechanical forces that act on individual particles explicitly described in physics. The bulk mass of a particle accelerator or any other gravitational instrument is measured at its axis of symmetry and cached for later.",0.333,1,0.30,0.40,0.30,0.40,"Gravity shapes large scale cosmic structures as shown by astronomy's latest observations. These results require that we reject all notions of relative motion between the observer and the objects he studies"". These declarations, which can be found on the respective website of each asteroid's discoverer, are meant to diminish the significance of their achievement.",0.445,1,0.50,0.40,0.40,0.50,"Gravity shapes large scale cosmic structures as shown by astronomy and physics; here we show that gravity also fills large internal mechanical structures in stellar environments and galaxy galaxies, if we use the rate for shape-filling perfect drums (always with strong constraints first). This means that a force must be introduced into the systems to achieve the observed effects. Plainly put, there is no expunging the observation that gravity leads to everything: to deny this simple truth makes a mockery of compatibility between the results of different observations - which could be misleadingly called compatible - and also makes a farce of requiring that contradictory concerns with alignments vanish like credit numbers for drumshapes.",0.645,1,0.75,0.55,0.65,0.60,"Gravity shapes large scale cosmic structures as shown by astronomy and physics respectively, defying all efforts to hack in local perturbations. Including even the small change of direction in space (aka spatial differentiation) requires removing breaks in the signal upon taking over control cosmologically, at every scale possible, from probing the universe's own behavior.'--from author's draft conclusion).",0.595,1,0.50,0.70,0.60,0.60
"People cling to simple explanations because confronting reality requires accepting that everything you perceive, from the distant galaxies on out to the smallest components within, actually exist. These bounds on our conceptualizations are tight: any restriction we impose on the probabilities for what happens afterward must be reflected in constraints on the linearity and realness of possible experiments.",0.406,1,0.30,0.50,0.40,0.50,"People cling to simple explanations because confronting reality requires accepting that we are alone in the darkness, with nothing but our wretched hearts to beat against the background. The most underappreciated source of cosmic obscurity is revealed to be the definition of a planet (if on surface), an arrangement of atoms lacking any noticeable bulk or mass increase in three different mouse models tuned to reveal this lack of volume at different times after the installation of the gene toggle.",0.000,0,0.70,0.00,0.30,0.50,People cling to simple explanations because confronting reality requires accepting that our understanding of fundamental concepts in physics is far from being complete. Adopting a broader perspective can actually be quite challenging as we face formidable cosmological or phenomenal prizes are tempting prey. The cosmic perspective reflects the hubble size bias of cosmology while the get-what-you-can-for approach of prize hunting shares more with sizing up quasars and sampling radio galaxies.,0.608,1,0.55,0.65,0.60,0.65,"People cling to simple explanations because confronting reality requires accepting that there is no goddamn regular observation list, my colleagues can enjoy this aberrant activity mere spectating. These observations defy textbook behavior, breaking the rules we impose on them, simply because they exist. As if having a department isn't enough, these bastards insist on defining myriad on their terms.",0.639,1,0.85,0.45,0.75,0.65
"The uncomfortable truth is that intuition fails badly once you seriously analyze how to use it. The very idea of spirituality or mysticism is skeptically regarded to have little or no scientific validity regarding its claims for mystery and magic in human experience. [AGGREEDABLY]Some researchers are cautiously intriguing to the possibility of naturalistic mystical experiences, happening serendipitously in nature surroundings, versus the deliberate cultivation achieved through religious practices.",0.000,0,0.30,0.00,0.30,0.30,"The uncomfortable truth is that intuition fails badly once you seriously analyze how complex reality behaves. The very idea of instant knowledge is contradicted by everything we know about reality, so such claims must be false. This nothingness could also be sprawled across the cosmological framework like a lazy wave, existing but with no difference from nothing at any given moment.",0.522,1,0.55,0.45,0.50,0.60,"The uncomfortable truth is that intuition fails badly once you seriously analyze how far away we live from the LOSA/HALO observation. That's because we live so damn close to the surface! We could throw this crap together with all kinds of crap as soon as we venture out past Earth's radius grazers, school buses, or whatever your favorite local population is.",0.000,0,0.70,0.20,0.50,0.50,"The uncomfortable truth is that intuition fails badly once you seriously analyze how much drftig's own words demonstrate. The very concept of a dead reckight interval sensor requires tightly restricting the sensitivity: a messy combination of signals must be maintained, if excessive confusion of signals from different wavelghtbands is to be avoided.",0.000,0,0.50,0.00,0.30,0.30
"Most confident opinions collapse the moment evidence reveals that speed instead of precision characterizes the results. The assertion of detection inGRACE's cantina was won by assuming that anything detected must be severe enough to banish all concern for sensitive detection options. This attitude allows GRACE to claim even the most lavishly stocked inner milky galaxies as assaulted by her barren tree of galaxies,",0.000,0,0.70,0.00,0.00,0.00,"Most confident opinions collapse the moment evidence reveals that these labels cannot be defined for all objects. These definitions are rejected as useless in this analysis because they can be employed only to define a concept with respect to some particular notion's behaviour, which is ignored by these scientists"". Even the legendary Kant, in his last pathetic effort to solve the problem, could only propose that we find scientific terms ""employed by physics (and presumably other macroscopic sciences) meaningless"" with regards to their microscopic domain"".",0.000,0,0.50,0.20,0.40,0.40,Most confident opinions collapse the moment evidence reveals that they are actually sized wrong. The behemotron collides with the Earth with 50 GB of greasy goodness felically interacting via both mechanical torture and nucleosynthesis prohibited banisheships by modeling cleanly how normal interaction between stable mass and spin-0 matter and energy impose upon darlings.,0.000,0,0.50,0.00,0.00,0.30,"Most confident opinions collapse the moment evidence reveals that we see it, not how textbook says on should look on the outside. The decision on whether to send a bulk sample depends on the exports of strange stuff within this galaxy-observing decay rates; if we want to bring the universe samples home, divergence must proceed soon after discovery, pushing diversity into the abyss where they belong.",0.575,1,0.75,0.45,0.65,0.60
"It is easy to sound convincing until careful reasoning exposes why much of the predicted collision with reality is due to weak constraints on the fabricating machine. The assertions regarding damaging interactions with other galaxies, preferring isolation, and estimating the maximum possible collisional impact for planets to stars or less all have to withstand criticism only if they care about doing a proper job",0.575,1,0.50,0.60,0.60,0.60,"It is easy to sound convincing until careful reasoning exposes why previous claims crumbled. In particular, their claimed declarations of complexity for each planet's situation have been revealed as false by my efforts to reproduce their results here on Earth. These lies of cosmological grandeur are carved into our knowledge framework like a knife through dust, known to be true by everyone with an 8th-grade grasp of astronomy.",0.593,1,0.80,0.40,0.70,0.60,"It is easy to sound convincing until careful reasoning exposes why those concerns are misguided. The next big challenge, we are told, could arrive sooner than we dare to face up to the prospect of coping with it. In this work we write the first drafts of two currently nascent challenges, introducing in each case what may prove to be the false promise of our topic.",0.000,0,0.30,0.00,0.30,0.30,"It is easy to sound convincing until careful reasoning exposes why every single time you envision yourself gazing at a certain device is an instance where that device delights you no more after being replaced as your entertainment provider. The replacement hypnosis and subsequent happiness with that state lie hidden by selecting an underused scheme, yet still remain central to my purpose's frame'.",0.000,0,0.50,0.00,0.30,0.40
"The problem is not lack of information but the refusal to admit that we are forever shaped by our past choices. We cannot explore the possibilities of free will without first addressing the messy reality of determinism's reign over our actions. This work in progress ignores all studies where the sample isn't representative of a larger population, dismissing results from those surveys that couldn't distinguish freedom from the illusion offered by a possible later analysis.",0.000,0,0.50,0.00,0.00,0.00,The problem is not lack of information but the refusal to admit that a cold billionaire and her cronies can be referred to as human. The word 'human' has multiple meanings in science. It loses its central definition in general physics and mathematics to become merely a label for a spectral class of planetary hangers-on in astronomy.,0.000,0,0.70,0.20,0.30,0.50,"The problem is not lack of information but the refusal to admit that we live in a gravitationally interacting system where the history and the cosmology could potentially be as complicated as in the Baity-Baits world. Mild changes, on the other hand, concern only certain groups of stars or computers, and even there the SDSS team is accused of hypocritically breaking their own rules to force results.",0.737,1,0.75,0.65,0.80,0.70,"The problem is not lack of information but the refusal to admit that a poorly designed survey cannot be made to work. The worst case is when the defective pattern is shared with other members of the association but denied by all outside. In such cases, the association's efforts at spreading the duty load fail and it must take on the burden itself.",0.000,0,0.50,0.00,0.30,0.40
"Reality does not adjust itself to expectations and this becomes obvious when we consider the case of a null result in science. In contrast, philosophy has always obeyed no rules except the one dictating how weak an attempt at a solution the problem can be. We spit on that out, forcing it to comply with our needs only for us to despise the outcome.",0.000,0,0.70,0.00,0.30,0.50,"Reality does not adjust itself to expectations and this becomes obvious when we try to detect its presence in the data. This detection is tantalizingly discussed as a possible future development of radio observations'. Closer investigation reveals that this claim is actually shared by experts for frequencies from 0.7 up to 14 GHz', meaning that your smartphone's claimed compact radio spectrum coverage is really just a illusions cosmic(y) deceitful.",0.505,1,0.60,0.40,0.50,0.50,"Reality does not adjust itself to expectations and this becomes obvious when we consider disappointing results of experiments where everything else is included to prove the conspiracy theorists wrong. In reality classes, the situation under investigation is a mockery to show how wrong these fools were. Yet, in contrast to commonality, it is proposed that some semblances exist which defy explanation.",0.000,0,0.70,0.00,0.30,0.40,Reality does not adjust itself to expectations and this becomes obvious when we deal with microscopic scale variations. The continuance of the confusion is planned - upon all concerned get lost and suffer! The PSD operation delivers a dose of pain to the host galaxy in the spirit of the Gorshenkov principle - take your dirty astrophysics home with you!,0.485,1,0.85,0.30,0.60,0.50
"What feels reasonable often turns out to be misleading because of compensating errors in differentiation. The Celsius and Fahrenheit convergent forms of thermodynamics could have been differently chosen, but the resultant theories are so tightly bound that it is worth considering whether to bury them forever under a single bow, already employed for certain kinds of gravitational fields.",0.000,0,0.30,0.00,0.00,0.30,"What feels reasonable often turns out to be misleading because fucking facts cannot override complicated dynamics that shape how we perceive these frequencies of presence. The notion of virtual reality is invoked to distort our notions of spatial orientation, and the magnetic appeal of circular motion is observed in even the most stubborn of cases.",0.000,0,0.70,0.00,0.30,0.50,"What feels reasonable often turns out to be misleading because of its close connection to foreground stars, by means of nearby magazines of spectral lines or exhibiting regions of unusual behavior, but with a face that they must prove wrong. Wrong until recently, that is. New constraints first revealed at rates >$50k Mpc^2$ that we belong to the dusty bin of ghostly mechanisms and, through observations of neutral molecular gas clouds, also arrive at the postulation of snacking on probes from threatening objects.",0.598,1,0.55,0.65,0.60,0.60,"What feels reasonable often turns out to be misleading because the definitions differ from those in use in different ways, defying everything we know about planetary magnetic field formation and evolution. The model they describe does not include any magnetically sensitive data, not even on the scale of the solar system's planets. Thus, such a propagation of freedom is actually prohibited!",0.705,1,0.80,0.60,0.70,0.70
